Industry,Symbol
Real Estate Services,2869.HK
Drug Manufacturers—Specialty & Generic,2877.HK
Semiconductors,2878.HK
Marine Shipping,2880.HK
Luxury Goods,2882.HK
Oil & Gas Equipment & Services,2883.HK
Security & Protection Services,2885.HK
Utilities—Regulated Gas,2886.HK
Banks—Diversified,2888.HK
Real Estate—Development,2892.HK
Gold,2899.HK
Building Materials,3300.HK
Real Estate—Development,3301.HK
Specialty Industrial Machinery,3302.HK
Oil & Gas Equipment & Services,3303.HK
Apparel Manufacturing,3306.HK
Department Stores,3308.HK
Medical Care Facilities,3309.HK
Engineering & Construction,3311.HK
Building Products & Equipment,3313.HK
Software—Infrastructure,3315.HK
Real Estate Services,3316.HK
Specialty Chemicals,3318.HK
Real Estate Services,3319.HK
Drug Manufacturers—Specialty & Generic,3320.HK
Engineering & Construction,3321.HK
Apparel Manufacturing,3322.HK
Building Materials,3323.HK
Luxury Goods,3326.HK
Banks—Diversified,3328.HK
Financial Conglomerates,3329.HK
Gold,3330.HK
Household & Personal Products,3331.HK
Household & Personal Products,3332.HK
Real Estate—Development,3333.HK
Computer Hardware,3336.HK
Oil & Gas Equipment & Services,3337.HK
Farm & Heavy Construction Machinery,3339.HK
Chemicals,3344.HK
Diagnostics & Research,3347.HK
Specialty Industrial Machinery,3348.HK
Credit Services,3360.HK
Paper & Paper Products,3363.HK
Real Estate—Development,3366.HK
Department Stores,3368.HK
Marine Shipping,3369.HK
Real Estate—Development,3377.HK
Real Estate—Development,3380.HK
Marine Shipping,3382.HK
Real Estate—Development,3383.HK
Luxury Goods,3389.HK
Pharmaceutical Retailers,3390.HK
Electrical Equipment & Parts,3393.HK
Oil & Gas E&P,3395.HK
Computer Hardware,3396.HK
Apparel Manufacturing,3398.HK
Integrated Freight & Logistics,3399.HK
Medical Instruments & Supplies,3600.HK
Internet Content & Information,3601.HK
Real Estate Services,3603.HK
Auto Parts,3606.HK
Textile Manufacturing,3608.HK
Software—Application,3611.HK
Pharmaceutical Retailers,3613.HK
Real Estate—Development,3616.HK
Banks—Regional,3618.HK
Financial Conglomerates,3623.HK
Specialty Business Services,3626.HK
Specialty Industrial Machinery,3628.HK
Utilities—Regulated Gas,3633.HK
Entertainment,3636.HK
Computer Hardware,3638.HK
Real Estate—Development,3639.HK
Real Estate Services,3658.HK
Credit Services,3660.HK
Real Estate Services,3662.HK
Restaurants,3666.HK
Thermal Coal,3668.HK
Auto & Truck Dealerships,3669.HK
Capital Markets,3678.HK
Information Technology Services,3680.HK
Biotechnology,3681.HK
Marine Shipping,3683.HK
Grocery Stores,3686.HK
Real Estate—Development,3688.HK
Medical Care Facilities,3689.HK
Internet Retail,3690.HK
Drug Manufacturers—Specialty & Generic,3692.HK
Banks—Regional,3698.HK
Real Estate Services,3699.HK
Internet Content & Information,3700.HK
Residential Construction,3708.HK
Apparel Retail,3709.HK
Waste Management,3718.HK
Engineering & Construction,3728.HK
Drug Manufacturers—Specialty & Generic,3737.HK
Software—Application,3738.HK
Biotechnology,3759.HK
Utilities—Regulated Water,3768.HK
Software—Infrastructure,3773.HK
Textile Manufacturing,3778.HK
Steel,3788.HK
Engineering & Construction,3789.HK
Electronic Gaming & Multimedia,3798.HK
Packaged Foods,3799.HK
Solar,3800.HK
Farm & Heavy Construction Machinery,3808.HK
Footwear & Accessories,3813.HK
Metal Fabrication,3816.HK
Apparel Manufacturing,3818.HK
Engineering & Construction,3822.HK
Household & Personal Products,3828.HK
Leisure,3830.HK
Other Industrial Metals & Mining,3833.HK
Auto & Truck Dealerships,3836.HK
Packaged Foods,3838.HK
Drug Manufacturers—Specialty & Generic,3839.HK
Credit Services,3848.HK
Apparel Retail,3860.HK
Banks—Regional,3866.HK
Utilities—Renewable,3868.HK
Medical Care Facilities,3869.HK
Rental & Leasing Services,3877.HK
Engineering & Construction,3878.HK
Security & Protection Services,3882.HK
Real Estate—Development,3883.HK
Medical Care Facilities,3886.HK
Electronic Gaming & Multimedia,3888.HK
Packaged Foods,3889.HK
Consulting Services,3893.HK
Software—Application,3896.HK
Railroads,3898.HK
Oil & Gas Equipment & Services,3899.HK
Real Estate—Development,3900.HK
Credit Services,3903.HK
Capital Markets,3908.HK
Real Estate Services,3913.HK
Resorts & Casinos,3918.HK
Electrical Equipment & Parts,3919.HK
Engineering & Construction,3928.HK
Electrical Equipment & Parts,3931.HK
Drug Manufacturers—Specialty & Generic,3933.HK
Capital Markets,3938.HK
Other Industrial Metals & Mining,3939.HK
Thermal Coal,3948.HK
Capital Markets,3958.HK
Credit Services,3963.HK
Banks—Regional,3968.HK
Railroads,3969.HK
Education & Training Services,3978.HK
Agricultural Inputs,3983.HK
Banks—Diversified,3988.HK
Waste Management,3989.HK
Real Estate Services,3990.HK
Electronics & Computer Distribution,3991.HK
Other Industrial Metals & Mining,3993.HK
Engineering & Construction,3996.HK
Personal Services,3997.HK
Apparel Manufacturing,3998.HK
Packaged Foods,3999.HK
Drug Manufacturers—General,4332.HK
Communication Equipment,4333.HK
Semiconductors,4335.HK
Semiconductor Equipment & Materials,4336.HK
Software—Infrastructure,4338.HK
Capital Markets,6030.HK
Specialty Retail,6033.HK
Electronics & Computer Distribution,6036.HK
Engineering & Construction,6038.HK
Real Estate Services,6049.HK
Tobacco,6055.HK
Financial Conglomerates,6058.HK
Insurance—Property & Casualty,6060.HK
Engineering & Construction,6063.HK
Capital Markets,6066.HK
Education & Training Services,6068.HK
Credit Services,6069.HK
Medical Care Facilities,6078.HK
Engineering & Construction,6080.HK
Electronic Components,6088.HK
Lodging,6090.HK
Real Estate Services,6093.HK
Real Estate Services,6098.HK
Capital Markets,6099.HK
Staffing & Employment Services,6100.HK
Pharmaceutical Retailers,6108.HK
Apparel Retail,6110.HK
Real Estate—Development,6111.HK
Advertising Agencies,6113.HK
Apparel Retail,6116.HK
Marine Shipping,6117.HK
Medical Devices,6118.HK
Marine Shipping,6119.HK
Banks—Regional,6122.HK
Integrated Freight & Logistics,6123.HK
Diagnostics & Research,6127.HK
Other Industrial Metals & Mining,6128.HK
Consumer Electronics,6133.HK
Utilities—Regulated Water,6136.HK
Banks—Regional,6138.HK
Real Estate—Development,6158.HK
Biotechnology,6160.HK
Insurance—Property & Casualty,6161.HK
Auto Parts,6162.HK
Auto Parts,6163.HK
Education & Training Services,6169.HK
Capital Markets,6178.HK
Engineering & Construction,6182.HK
Drug Manufacturers—Specialty & Generic,6185.HK
Packaged Foods,6186.HK
Specialty Retail,6188.HK
Engineering & Construction,6189.HK
Banks—Regional,6190.HK
Building Materials,6193.HK
Banks—Regional,6196.HK
Marine Shipping,6198.HK
Banks—Regional,6199.HK
Apparel Retail,6288.HK
Drug Manufacturers—Specialty & Generic,6600.HK
Household & Personal Products,6601.HK
Medical Devices,6606.HK
Software—Infrastructure,6608.HK
Medical Devices,6609.HK
Software—Application,6610.HK
Real Estate—Development,6611.HK
Chemicals,6616.HK
Medical Care Facilities,6618.HK
Biotechnology,6622.HK
Credit Services,6623.HK
Real Estate Services,6626.HK
Biotechnology,6628.HK
Electronic Gaming & Multimedia,6633.HK
Software—Application,6638.HK
Medical Care Facilities,6639.HK
Building Materials,6655.HK
Biotechnology,6660.HK
Utilities—Regulated Gas,6661.HK
Security & Protection Services,6663.HK
Real Estate Services,6666.HK
Diagnostics & Research,6667.HK
Real Estate Services,6668.HK
Medical Devices,6669.HK
Real Estate Services,6677.HK
Metal Fabrication,6680.HK
Packaged Foods,6683.HK
Asset Management,6686.HK
Food Distribution,6689.HK
"Furnishings, Fixtures & Appliances",6690.HK
Advertising Agencies,6696.HK
Entertainment,6698.HK
Medical Instruments & Supplies,6699.HK
Waste Management,6805.HK
Capital Markets,6806.HK
Department Stores,6808.HK
Restaurants,6811.HK
Waste Management,6812.HK
Engineering & Construction,6816.HK
Banks—Regional,6818.HK
Health Information Services,6819.HK
Electronic Gaming & Multimedia,6820.HK
Biotechnology,6821.HK
"Furnishings, Fixtures & Appliances",6822.HK
Telecom Services,6823.HK
Biotechnology,6826.HK
Utilities—Regulated Gas,6828.HK
Engineering & Construction,6829.HK
Auto Parts,6830.HK
Advertising Agencies,6833.HK
Packaged Foods,6836.HK
Capital Markets,6837.HK
Luxury Goods,6838.HK
Utilities—Regulated Water,6839.HK
Biotechnology,6855.HK
Leisure,6858.HK
Electronic Gaming & Multimedia,6860.HK
Restaurants,6862.HK
Building Products & Equipment,6865.HK
Credit Services,6866.HK
Packaged Foods,6868.HK
Communication Equipment,6869.HK
Capital Markets,6877.HK
Credit Services,6878.HK
Specialty Retail,6880.HK
Capital Markets,6881.HK
Travel Services,6882.HK
Coking Coal,6885.HK
Capital Markets,6886.HK
Infrastructure Operations,6888.HK
Gambling,6889.HK
Steel,6890.HK
Household & Personal Products,6893.HK
Drug Manufacturers—Specialty & Generic,6896.HK
Packaging & Containers,6898.HK
Electronic Gaming & Multimedia,6899.HK
Real Estate—Development,6900.HK
Electrical Equipment & Parts,6908.HK
Auto & Truck Dealerships,6909.HK
Education & Training Services,6913.HK
Leisure,6918.HK
Staffing & Employment Services,6919.HK
Medical Devices,6922.HK
Auto Parts,6928.HK
Medical Instruments & Supplies,6929.HK
Electronic Gaming & Multimedia,6933.HK
Computer Hardware,6939.HK
Biotechnology,6955.HK
Real Estate Services,6958.HK
Insurance—Diversified,6963.HK
Personal Services,6966.HK
Real Estate—Development,6968.HK
Tobacco,6969.HK
Biotechnology,6978.HK
Beverages—Wineries & Distilleries,6979.HK
Advertising Agencies,6988.HK
Real Estate Services,6989.HK
Household & Personal Products,6993.HK
Biotechnology,6996.HK
Biotechnology,6998.HK
Real Estate—Development,6999.HK
Shell Companies,7801.HK
Shell Companies,7827.HK
Shell Companies,7836.HK
Shell Companies,7841.HK
Shell Companies,7855.HK
Credit Services,8001.HK
Lumber & Wood Production,8003.HK
Consumer Electronics,8005.HK
Publishing,8006.HK
Oil & Gas Refining & Marketing,8007.HK
Oil & Gas Refining & Marketing,8009.HK
Oil & Gas E&P,8011.HK
Software—Infrastructure,8017.HK
Software—Application,8018.HK
Credit Services,8019.HK
Marine Shipping,8020.HK
Engineering & Construction,8021.HK
Engineering & Construction,8023.HK
Asset Management,8025.HK
Luxury Goods,8026.HK
Metal Fabrication,8027.HK
Other Industrial Metals & Mining,8028.HK
Financial Conglomerates,8029.HK
Asset Management,8030.HK
Staffing & Employment Services,8031.HK
Apparel Manufacturing,8032.HK
Information Technology Services,8033.HK
Software—Application,8036.HK
Diagnostics & Research,8037.HK
Engineering & Construction,8039.HK
Consulting Services,8040.HK
Apparel Manufacturing,8041.HK
Staffing & Employment Services,8042.HK
Communication Equipment,8043.HK
Electronics & Computer Distribution,8045.HK
Integrated Freight & Logistics,8047.HK
Software—Application,8048.HK
Drug Manufacturers—Specialty & Generic,8049.HK
Information Technology Services,8050.HK
Security & Protection Services,8051.HK
Resorts & Casinos,8052.HK
Specialty Chemicals,8053.HK
Restaurants,8056.HK
Beverages—Wineries & Distilleries,8057.HK
Engineering & Construction,8059.HK
Software—Application,8060.HK
Software—Infrastructure,8062.HK
Credit Services,8063.HK
Infrastructure Operations,8065.HK
Semiconductors,8066.HK
Real Estate Services,8067.HK
Travel Services,8069.HK
Electronic Components,8070.HK
Software—Application,8071.HK
Capital Markets,8072.HK
Electronic Components,8073.HK
Information Technology Services,8076.HK
Entertainment,8078.HK
Grocery Stores,8079.HK
Industrial Distribution,8080.HK
Information Technology Services,8081.HK
Entertainment,8082.HK
Software—Application,8083.HK
Conglomerates,8086.HK
Entertainment,8087.HK
Advertising Agencies,8091.HK
Communication Equipment,8092.HK
Advertising Agencies,8093.HK
Travel Services,8095.HK
Restaurants,8096.HK
Capital Markets,8098.HK
Software—Application,8100.HK
Information Technology Services,8103.HK
Electronics & Computer Distribution,8106.HK
Apparel Manufacturing,8107.HK
Solar,8111.HK
Advertising Agencies,8112.HK
Electronic Components,8113.HK
Specialty Industrial Machinery,8115.HK
Oil & Gas Midstream,8117.HK
"Furnishings, Fixtures & Appliances",8118.HK
Restaurants,8120.HK
Advertising Agencies,8121.HK
Capital Markets,8123.HK
"Furnishings, Fixtures & Appliances",8125.HK
Auto & Truck Dealerships,8126.HK
Engineering & Construction,8128.HK
Publishing,8130.HK
Software—Application,8131.HK
Electrical Equipment & Parts,8132.HK
Metal Fabrication,8133.HK
Electrical Equipment & Parts,8136.HK
Electrical Equipment & Parts,8137.HK
Chemicals,8139.HK
Steel,8140.HK
Medical Care Facilities,8143.HK
Beverages—Wineries & Distilleries,8146.HK
Consumer Electronics,8147.HK
Software—Application,8148.HK
Conglomerates,8149.HK
Electronic Components,8150.HK
Specialty Chemicals,8151.HK
Industrial Distribution,8152.HK
Advertising Agencies,8153.HK
Software—Application,8156.HK
Biotechnology,8158.HK
Computer Hardware,8159.HK
Education & Training Services,8160.HK
Medical Care Facilities,8161.HK
Conglomerates,8162.HK
Conglomerates,8166.HK
Telecom Services,8167.HK
Capital Markets,8168.HK
Pollution & Treatment Controls,8169.HK
Engineering & Construction,8170.HK
Entertainment,8172.HK
Consulting Services,8173.HK
Household & Personal Products,8176.HK
Information Technology Services,8178.HK
Packaged Foods,8179.HK
Real Estate Services,8181.HK
Lumber & Wood Production,8186.HK
Footwear & Accessories,8187.HK
Engineering & Construction,8188.HK
Agricultural Inputs,8189.HK
Lumber & Wood Production,8191.HK
Capital Markets,8193.HK
Apparel Manufacturing,8195.HK
Waste Management,8196.HK
Information Technology Services,8198.HK
Household & Personal Products,8200.HK
Waste Management,8201.HK
Thermal Coal,8203.HK
Software—Application,8205.HK
Specialty Business Services,8206.HK
Engineering & Construction,8208.HK
Capital Markets,8210.HK
Textile Manufacturing,8211.HK
Restaurants,8213.HK
Engineering & Construction,8217.HK
Scientific & Technical Instruments,8218.HK
Luxury Goods,8219.HK
Entertainment,8220.HK
Capital Markets,8221.HK
"Furnishings, Fixtures & Appliances",8222.HK
Credit Services,8223.HK
Diagnostics & Research,8225.HK
Capital Markets,8226.HK
Communication Equipment,8227.HK
Leisure,8228.HK
Information Technology Services,8229.HK
Restaurants,8232.HK
Lodging,8237.HK
Advertising Agencies,8238.HK
Credit Services,8239.HK
Packaged Foods,8241.HK
Communication Equipment,8245.HK
Engineering & Construction,8246.HK
Diagnostics & Research,8247.HK
Electronic Components,8249.HK
Thermal Coal,8250.HK
Semiconductor Equipment & Materials,8257.HK
Engineering & Construction,8262.HK
Electronic Gaming & Multimedia,8267.HK
Engineering & Construction,8268.HK
Conglomerates,8269.HK
Oil & Gas Refining & Marketing,8270.HK
Entertainment,8271.HK
Engineering & Construction,8275.HK
Lumber & Wood Production,8277.HK
Gambling,8279.HK
Entertainment,8280.HK
Household & Personal Products,8281.HK
Electronic Gaming & Multimedia,8282.HK
Auto Parts,8283.HK
Footwear & Accessories,8285.HK
Communication Equipment,8286.HK
Communication Equipment,8287.HK
Software—Application,8290.HK
Packaging & Containers,8291.HK
Integrated Freight & Logistics,8292.HK
Staffing & Employment Services,8293.HK
Capital Markets,8295.HK
Personal Services,8296.HK
Apparel Manufacturing,8297.HK
Gold,8299.HK
Restaurants,8300.HK
Engineering & Construction,8305.HK
Medical Care Facilities,8307.HK
Resorts & Casinos,8308.HK
Waste Management,8309.HK
Integrated Freight & Logistics,8310.HK
Electronic Components,8311.HK
Asset Management,8313.HK
Security & Protection Services,8315.HK
Engineering & Construction,8316.HK
Specialty Business Services,8317.HK
Information Technology Services,8319.HK
Waste Management,8320.HK
Engineering & Construction,8321.HK
Specialty Business Services,8325.HK
Utilities—Renewable,8326.HK
Electrical Equipment & Parts,8328.HK
Drug Manufacturers—Specialty & Generic,8329.HK
Other Industrial Metals & Mining,8331.HK
Capital Markets,8333.HK
Telecom Services,8337.HK
Capital Markets,8340.HK
Consulting Services,8341.HK
Oil & Gas Refining & Marketing,8347.HK
Integrated Freight & Logistics,8348.HK
Building Products & Equipment,8349.HK
Capital Markets,8350.HK
Software—Application,8353.HK
Engineering & Construction,8356.HK
Medical Care Facilities,8357.HK
Engineering & Construction,8360.HK
Packaged Foods,8362.HK
Education & Training Services,8363.HK
Capital Markets,8365.HK
Engineering & Construction,8366.HK
Restaurants,8367.HK
Entertainment,8368.HK
Business Equipment & Supplies,8370.HK
Restaurants,8371.HK
Medical Distribution,8372.HK
Engineering & Construction,8373.HK
Electronic Components,8375.HK
Textile Manufacturing,8377.HK
Security & Protection Services,8379.HK
Packaging & Containers,8383.HK
Specialty Business Services,8385.HK
Specialty Business Services,8391.HK
"Furnishings, Fixtures & Appliances",8392.HK
Specialty Retail,8395.HK
Gambling,8400.HK
Advertising Agencies,8401.HK
Steel,8402.HK
Advertising Agencies,8403.HK
Medical Care Facilities,8405.HK
Leisure,8406.HK
Engineering & Construction,8411.HK
Restaurants,8412.HK
Food Distribution,8413.HK
Specialty Business Services,8416.HK
Education & Training Services,8417.HK
Auto Parts,8418.HK
Specialty Business Services,8419.HK
Software—Infrastructure,8420.HK
Engineering & Construction,8422.HK
Engineering & Construction,8423.HK
Rental & Leasing Services,8425.HK
Real Estate Services,8426.HK
Communication Equipment,8427.HK
Restaurants,8428.HK
Advertising Agencies,8429.HK
Trucking,8430.HK
Engineering & Construction,8431.HK
Restaurants,8432.HK
Household & Personal Products,8436.HK
Medical Care Facilities,8437.HK
Capital Markets,8439.HK
Engineering & Construction,8445.HK
Entertainment,8446.HK
Restaurants,8447.HK
Specialty Business Services,8448.HK
Specialty Business Services,8450.HK
Household & Personal Products,8451.HK
Credit Services,8452.HK
Consulting Services,8455.HK
Engineering & Construction,8460.HK
Staffing & Employment Services,8462.HK
Textile Manufacturing,8471.HK
Waste Management,8472.HK
Specialty Retail,8473.HK
Restaurants,8475.HK
Packaged Foods,8476.HK
Oil & Gas Refining & Marketing,8479.HK
Textile Manufacturing,8480.HK
Paper & Paper Products,8481.HK
Integrated Freight & Logistics,8482.HK
Personal Services,8483.HK
Communication Equipment,8487.HK
Integrated Freight & Logistics,8489.HK
Semiconductor Equipment & Materials,8490.HK
Food Distribution,8491.HK
Restaurants,8493.HK
Restaurants,8495.HK
Grocery Stores,8496.HK
Advertising Agencies,8500.HK
Consulting Services,8501.HK
Infrastructure Operations,8502.HK
Apparel Manufacturing,8507.HK
Beverages—Wineries & Distilleries,8509.HK
Restaurants,8510.HK
Scientific & Technical Instruments,8511.HK
Household & Personal Products,8512.HK
Medical Instruments & Supplies,8513.HK
Engineering & Construction,8516.HK
Restaurants,8519.HK
Textile Manufacturing,8521.HK
Engineering & Construction,8523.HK
Credit Services,8525.HK
Building Products & Equipment,8526.HK
Restaurants,8527.HK
Engineering & Construction,8532.HK
Security & Protection Services,8535.HK
Specialty Retail,8536.HK
Luxury Goods,8537.HK
Capital Markets,8540.HK
Leisure,8545.HK
"Furnishings, Fixtures & Appliances",8547.HK
Engineering & Construction,8601.HK
Personal Services,8603.HK
Information Technology Services,8606.HK
Textile Manufacturing,8607.HK
Packaged Foods,8609.HK
Information Technology Services,8611.HK
Rental & Leasing Services,8612.HK
Software—Infrastructure,8613.HK
Engineering & Construction,8616.HK
Specialty Industrial Machinery,8617.HK
Engineering & Construction,8619.HK
Airports & Air Services,8620.HK
Credit Services,8621.HK
Drug Manufacturers—Specialty & Generic,8622.HK
Electrical Equipment & Parts,8623.HK
Advertising Agencies,8627.HK
Oil & Gas Refining & Marketing,8631.HK
Software—Application,8635.HK
Telecom Services,8645.HK
Building Products & Equipment,8646.HK
Asset Management,8657.HK
Packaging & Containers,8659.HK
Travel Services,8668.HK
Software—Application,9600.HK
Real Estate Services,9608.HK
Education & Training Services,9616.HK
Internet Retail,9618.HK
Electronic Gaming & Multimedia,9626.HK
Beverages—Non-Alcoholic,9633.HK
Education & Training Services,9636.HK
Leisure,9638.HK
Restaurants,9658.HK
Real Estate Services,9666.HK
Banks—Regional,9668.HK
Software—Application,9669.HK
Banks—Regional,9677.HK
Biotechnology,9688.HK
Oil & Gas Refining & Marketing,9689.HK
Other Industrial Metals & Mining,9696.HK
Information Technology Services,9698.HK
Integrated Freight & Logistics,9699.HK
Entertainment,9857.HK
Farm Products,9858.HK
Diagnostics & Research,9860.HK
Auto Manufacturers,9863.HK
Auto Manufacturers,9866.HK
Auto Manufacturers,9868.HK
Restaurants,9869.HK
Medical Devices,9877.HK
Software—Application,9878.HK
Pharmaceutical Retailers,9885.HK
Health Information Services,9886.HK
Internet Content & Information,9888.HK
Banks—Regional,9889.HK
Specialty Retail,9896.HK
Internet Content & Information,9898.HK
Internet Content & Information,9899.HK
Engineering & Construction,9900.HK
Education & Training Services,9901.HK
Medical Care Facilities,9906.HK
Utilities—Regulated Gas,9908.HK
Real Estate Services,9909.HK
Software—Application,9911.HK
Engineering & Construction,9913.HK
Real Estate Services,9916.HK
Electronic Components,9918.HK
Advertising Agencies,9919.HK
Restaurants,9922.HK
Software—Infrastructure,9923.HK
Biotechnology,9926.HK
Real Estate Services,9928.HK
Engineering & Construction,9929.HK
Industrial Distribution,9930.HK
Chemicals,9933.HK
Specialty Chemicals,9936.HK
Building Products & Equipment,9938.HK
Biotechnology,9939.HK
Medical Distribution,9955.HK
Trucking,9956.HK
Entertainment,9958.HK
Software—Infrastructure,9959.HK
Diagnostics & Research,9960.HK
Travel Services,9961.HK
Communication Equipment,9963.HK
Biotechnology,9966.HK
Real Estate—Development,9968.HK
Biotechnology,9969.HK
Real Estate Services,9978.HK
Real Estate Services,9979.HK
Real Estate Services,9982.HK
Real Estate Services,9983.HK
Packaged Foods,9985.HK
Education & Training Services,9986.HK
Restaurants,9987.HK
Internet Retail,9988.HK
Drug Manufacturers—Specialty & Generic,9989.HK
Electronic Gaming & Multimedia,9990.HK
Internet Retail,9991.HK
Leisure,9992.HK
Real Estate—Development,9993.HK
Biotechnology,9995.HK
Medical Devices,9996.HK
Medical Instruments & Supplies,9997.HK
Engineering & Construction,9998.HK
Electronic Gaming & Multimedia,9999.HK
