Industry,Symbol
Real Estate Services,0499.HK
Integrated Freight & Logistics,0500.HK
Drug Manufacturers—Specialty & Generic,0503.HK
Copper,0505.HK
Beverages—Non-Alcoholic,0506.HK
Credit Services,0508.HK
Agricultural Inputs,0509.HK
Capital Markets,0510.HK
Broadcasting,0511.HK
Drug Manufacturers—Specialty & Generic,0512.HK
Luxury Goods,0513.HK
Electronic Components,0515.HK
Marine Shipping,0517.HK
Apparel Manufacturing,0518.HK
Real Estate Services,0519.HK
Restaurants,0520.HK
Other Industrial Metals & Mining,0521.HK
Semiconductor Equipment & Materials,0522.HK
Telecom Services,0524.HK
Railroads,0525.HK
Auto & Truck Dealerships,0526.HK
Utilities—Renewable,0527.HK
Textile Manufacturing,0528.HK
Electronics & Computer Distribution,0529.HK
Beverages—Wineries & Distilleries,0530.HK
"Furnishings, Fixtures & Appliances",0531.HK
Electronic Components,0532.HK
Apparel Manufacturing,0533.HK
Real Estate—Development,0535.HK
Software—Application,0536.HK
Restaurants,0538.HK
Apparel Manufacturing,0540.HK
Real Estate—Development,0542.HK
Internet Content & Information,0543.HK
Specialty Business Services,0544.HK
Specialty Chemicals,0546.HK
Entertainment,0547.HK
Infrastructure Operations,0548.HK
Advertising Agencies,0550.HK
Footwear & Accessories,0551.HK
Telecom Services,0552.HK
Electronic Components,0553.HK
Oil & Gas Equipment & Services,0554.HK
Pollution & Treatment Controls,0556.HK
Medical Care Facilities,0557.HK
Specialty Industrial Machinery,0558.HK
Lodging,0559.HK
Marine Shipping,0560.HK
Real Estate—Development,0563.HK
Auto Parts,0564.HK
Real Estate Services,0565.HK
Oil & Gas Refining & Marketing,0567.HK
Oil & Gas Equipment & Services,0568.HK
Drug Manufacturers—Specialty & Generic,0570.HK
Entertainment,0571.HK
Capital Markets,0572.HK
Restaurants,0573.HK
Pharmaceutical Retailers,0574.HK
Asset Management,0575.HK
Infrastructure Operations,0576.HK
Utilities—Renewable,0579.HK
Electronic Components,0580.HK
Steel,0581.HK
Resorts & Casinos,0582.HK
Real Estate Services,0583.HK
Financial Conglomerates,0585.HK
Pollution & Treatment Controls,0586.HK
Waste Management,0587.HK
Real Estate—Development,0588.HK
Engineering & Construction,0589.HK
Luxury Goods,0590.HK
Scientific & Technical Instruments,0591.HK
Apparel Retail,0592.HK
Real Estate Services,0593.HK
Electronics & Computer Distribution,0595.HK
Software—Application,0596.HK
Integrated Freight & Logistics,0598.HK
Home Improvement Retail,0599.HK
Oil & Gas Equipment & Services,0600.HK
Other Industrial Metals & Mining,0601.HK
Department Stores,0602.HK
Oil & Gas Refining & Marketing,0603.HK
Real Estate—Development,0604.HK
Credit Services,0605.HK
Real Estate Services,0606.HK
Specialty Industrial Machinery,0607.HK
Apparel Manufacturing,0608.HK
Chemicals,0609.HK
Engineering & Construction,0610.HK
Engineering & Construction,0611.HK
Asset Management,0612.HK
Capital Markets,0613.HK
Real Estate Services,0616.HK
Lodging,0617.HK
Real Estate—Development,0618.HK
Capital Markets,0619.HK
Internet Retail,0620.HK
Gold,0621.HK
Capital Markets,0622.HK
Advertising Agencies,0623.HK
Banks—Regional,0626.HK
Credit Services,0628.HK
Specialty Business Services,0629.HK
Conglomerates,0630.HK
Farm & Heavy Construction Machinery,0631.HK
Oil & Gas E&P,0632.HK
